purchase_order_id,order_date,expected_delivery_date,warehouse_id,sku,supplier_id,ordered_units,unit_cost,status
PO-00001,2025-05-28,2025-06-01,WH-NORTH,SKU-1120,SUP-004,96,1.6,received
PO-00002,2025-11-07,2025-11-14,WH-CENTER,SKU-1081,SUP-003,144,3.74,received
PO-00003,2026-05-02,2026-05-07,WH-NORTH,SKU-1036,SUP-001,300,4.34,received
PO-00004,2026-02-14,2026-02-20,WH-NORTH,SKU-1085,SUP-003,96,2.74,received
PO-00005,2025-05-09,2025-05-16,WH-SOUTH,SKU-1070,SUP-003,84,4.73,received
PO-00006,2025-09-20,2025-09-26,WH-SOUTH,SKU-1005,SUP-002,96,1.67,received
PO-00007,2026-01-21,2026-01-26,WH-CENTER,SKU-1003,SUP-002,540,0.63,received
PO-00008,2025-01-26,2025-02-03,WH-CENTER,SKU-1076,SUP-003,216,2.45,received
PO-00009,2025-08-23,2025-08-26,WH-SOUTH,SKU-1054,SUP-001,168,1.53,received
PO-00010,2025-02-20,2025-02-22,WH-CENTER,SKU-1051,SUP-001,486,1.37,received
PO-00011,2025-12-24,2025-12-31,WH-NORTH,SKU-1072,SUP-003,144,5.09,received
PO-00012,2025-09-21,2025-09-27,WH-NORTH,SKU-1090,SUP-003,144,5.44,received
PO-00013,2025-11-19,2025-11-23,WH-SOUTH,SKU-1116,SUP-004,288,1.66,received
PO-00014,2025-11-09,2025-11-16,WH-CENTER,SKU-1095,SUP-005,192,5.63,received
PO-00015,2025-10-14,2025-10-18,WH-SOUTH,SKU-1113,SUP-004,372,1.94,received
PO-00016,2026-05-08,2026-05-12,WH-CENTER,SKU-1003,SUP-002,738,0.63,received
PO-00017,2025-07-12,2025-07-17,WH-SOUTH,SKU-1022,SUP-006,240,2.09,received
PO-00018,2025-01-17,2025-01-26,WH-SOUTH,SKU-1089,SUP-003,48,2.12,received
PO-00019,2025-07-17,2025-07-20,WH-CENTER,SKU-1110,SUP-004,240,4.32,received
PO-00020,2025-05-09,2025-05-12,WH-SOUTH,SKU-1050,SUP-001,804,1.65,received
PO-00021,2026-05-22,2026-05-29,WH-NORTH,SKU-1105,SUP-005,96,4.03,received
PO-00022,2025-04-10,2025-04-16,WH-CENTER,SKU-1006,SUP-002,330,1.01,received
PO-00023,2025-09-07,2025-09-13,WH-NORTH,SKU-1102,SUP-005,288,6.34,received
PO-00024,2025-10-04,2025-10-09,WH-CENTER,SKU-1103,SUP-005,240,5.05,received
PO-00025,2026-04-29,2026-05-05,WH-CENTER,SKU-1012,SUP-002,480,1.48,received
PO-00026,2025-09-20,2025-09-24,WH-NORTH,SKU-1022,SUP-006,624,2.09,received
PO-00027,2026-02-21,2026-03-02,WH-NORTH,SKU-1072,SUP-003,120,5.09,received
PO-00028,2025-12-08,2025-12-14,WH-CENTER,SKU-1104,SUP-005,132,7.89,received
PO-00029,2025-05-22,2025-05-27,WH-CENTER,SKU-1112,SUP-004,168,4.53,received
PO-00030,2025-06-13,2025-06-18,WH-CENTER,SKU-1025,SUP-006,72,0.78,received
PO-00031,2025-11-15,2025-11-20,WH-CENTER,SKU-1016,SUP-006,192,2.48,received
PO-00032,2026-03-17,2026-03-20,WH-NORTH,SKU-1109,SUP-004,288,2.43,received
PO-00033,2025-03-02,2025-03-09,WH-SOUTH,SKU-1014,SUP-002,384,1.28,received
PO-00034,2025-12-12,2025-12-19,WH-SOUTH,SKU-1095,SUP-005,240,5.63,received
PO-00035,2026-06-03,2026-06-07,WH-SOUTH,SKU-1009,SUP-002,696,1.63,received
PO-00036,2025-09-07,2025-09-13,WH-CENTER,SKU-1027,SUP-006,264,2.25,received
PO-00037,2025-11-12,2025-11-17,WH-SOUTH,SKU-1092,SUP-005,48,5.6,received
PO-00038,2026-01-06,2026-01-10,WH-SOUTH,SKU-1013,SUP-002,816,1.73,received
PO-00039,2025-01-18,2025-01-24,WH-NORTH,SKU-1022,SUP-006,240,2.09,received
PO-00040,2026-03-30,2026-04-03,WH-SOUTH,SKU-1006,SUP-002,330,1.01,received
PO-00041,2025-11-15,2025-11-21,WH-NORTH,SKU-1074,SUP-003,336,3.05,received
PO-00042,2026-04-01,2026-04-03,WH-NORTH,SKU-1042,SUP-001,312,1.29,received
PO-00043,2025-11-13,2025-11-17,WH-SOUTH,SKU-1001,SUP-002,420,1.28,received
PO-00044,2026-05-29,2026-05-31,WH-SOUTH,SKU-1040,SUP-001,288,3.06,received
PO-00045,2026-04-11,2026-04-15,WH-CENTER,SKU-1040,SUP-001,144,3.06,received
PO-00046,2025-05-22,2025-05-28,WH-NORTH,SKU-1021,SUP-006,108,0.63,received
PO-00047,2026-02-15,2026-02-19,WH-SOUTH,SKU-1022,SUP-006,336,2.09,received
PO-00048,2025-06-29,2025-07-04,WH-NORTH,SKU-1002,SUP-002,240,0.76,received
PO-00049,2025-04-10,2025-04-15,WH-CENTER,SKU-1051,SUP-001,522,1.37,received
PO-00050,2025-12-18,2025-12-22,WH-NORTH,SKU-1107,SUP-004,390,6.06,received
PO-00051,2026-01-21,2026-01-26,WH-CENTER,SKU-1025,SUP-006,240,0.78,received
PO-00052,2025-05-18,2025-05-23,WH-NORTH,SKU-1008,SUP-002,174,1.94,received
PO-00053,2025-10-25,2025-10-28,WH-SOUTH,SKU-1051,SUP-001,168,1.37,received
PO-00054,2025-06-04,2025-06-09,WH-CENTER,SKU-1037,SUP-001,480,1.61,received
PO-00055,2025-01-19,2025-01-26,WH-SOUTH,SKU-1014,SUP-002,144,1.28,received
